# rho       1e5ptcls      2e5ptcls      5e5ptcls     1e6ptcls
7.25000e-01 1.83220e+19 1.92140e+19 1.87400e+19 1.86670e+19
7.30000e-01 1.90430e+19 1.83680e+19 1.90060e+19 1.92170e+19
7.35000e-01 1.86650e+19 1.89810e+19 1.89180e+19 1.89770e+19
7.40000e-01 1.95450e+19 1.98310e+19 1.95550e+19 1.95390e+19
7.45000e-01 1.99550e+19 1.87980e+19 1.89910e+19 1.91710e+19
7.50000e-01 1.95210e+19 1.94280e+19 1.89140e+19 1.91830e+19
7.55000e-01 1.77210e+19 1.90580e+19 1.89060e+19 1.92410e+19
7.60000e-01 1.89900e+19 1.90730e+19 1.93150e+19 1.93050e+19
7.65000e-01 1.90790e+19 1.97640e+19 1.95030e+19 1.92810e+19
7.70000e-01 2.11340e+19 1.96240e+19 1.92610e+19 1.88480e+19
7.75000e-01 1.96630e+19 1.99020e+19 1.90970e+19 1.90090e+19
7.80000e-01 1.93640e+19 1.94880e+19 1.89690e+19 1.90030e+19
7.85000e-01 1.98420e+19 1.87620e+19 1.90970e+19 1.95390e+19
7.90000e-01 1.91780e+19 1.92090e+19 1.91710e+19 1.89870e+19
7.95000e-01 1.93620e+19 1.90270e+19 1.93520e+19 1.95850e+19
8.00000e-01 1.96020e+19 1.85660e+19 1.93570e+19 1.91580e+19
8.05000e-01 2.04280e+19 1.84100e+19 1.95230e+19 1.93290e+19
8.10000e-01 1.93600e+19 1.98020e+19 1.89740e+19 1.93440e+19
8.15000e-01 1.98190e+19 1.92360e+19 1.89210e+19 1.93060e+19
8.20000e-01 1.90770e+19 2.01910e+19 1.93800e+19 1.90170e+19
8.25000e-01 1.88360e+19 1.93640e+19 1.93340e+19 1.91890e+19
8.30000e-01 1.92520e+19 1.90780e+19 1.89850e+19 1.91090e+19
8.35000e-01 1.86630e+19 1.98790e+19 1.92550e+19 1.89190e+19
8.40000e-01 1.90570e+19 1.91710e+19 1.92560e+19 1.89450e+19
8.45000e-01 1.80150e+19 1.90880e+19 1.84730e+19 1.92490e+19
8.50000e-01 1.82610e+19 1.82540e+19 1.86820e+19 1.88670e+19
8.55000e-01 1.80890e+19 1.88500e+19 1.83090e+19 1.85500e+19
8.60000e-01 1.92630e+19 1.88500e+19 1.84550e+19 1.81720e+19
8.65000e-01 1.84390e+19 1.79850e+19 1.87510e+19 1.82760e+19
8.70000e-01 1.72040e+19 1.83180e+19 1.76740e+19 1.77030e+19
8.75000e-01 1.82480e+19 1.72800e+19 1.79580e+19 1.81320e+19
8.80000e-01 1.86930e+19 1.75280e+19 1.77360e+19 1.76020e+19
8.85000e-01 1.75910e+19 1.70680e+19 1.76540e+19 1.75020e+19
8.90000e-01 1.77380e+19 1.75760e+19 1.74740e+19 1.73110e+19
8.95000e-01 1.74450e+19 1.67840e+19 1.71410e+19 1.68930e+19
9.00000e-01 1.71270e+19 1.66440e+19 1.70610e+19 1.67640e+19
9.05000e-01 1.64040e+19 1.68180e+19 1.64600e+19 1.64330e+19
9.10000e-01 1.60850e+19 1.55120e+19 1.60850e+19 1.62510e+19
9.15000e-01 1.62060e+19 1.63050e+19 1.56330e+19 1.62000e+19
9.20000e-01 1.53990e+19 1.59250e+19 1.58400e+19 1.57940e+19
9.25000e-01 1.64210e+19 1.56650e+19 1.61570e+19 1.56560e+19
9.30000e-01 1.52970e+19 1.58010e+19 1.54670e+19 1.56470e+19
9.35000e-01 1.50300e+19 1.53660e+19 1.54270e+19 1.52560e+19
9.40000e-01 1.50740e+19 1.59810e+19 1.52770e+19 1.54150e+19
9.45000e-01 1.58100e+19 1.51730e+19 1.51910e+19 1.53610e+19
9.50000e-01 1.49410e+19 1.53140e+19 1.54330e+19 1.51840e+19
9.55000e-01 1.47780e+19 1.52790e+19 1.53540e+19 1.54840e+19
9.60000e-01 1.52260e+19 1.47720e+19 1.47900e+19 1.47300e+19
9.65000e-01 1.31860e+19 1.30030e+19 1.30900e+19 1.30420e+19
9.70000e-01 1.17330e+19 1.10320e+19 1.09750e+19 1.11990e+19
9.75000e-01 9.22360e+18 9.36700e+18 9.35960e+18 9.39360e+18
9.80000e-01 7.53810e+18 7.58320e+18 7.55380e+18 7.53700e+18
9.85000e-01 5.63060e+18 5.61230e+18 5.67850e+18 5.63680e+18
9.90000e-01 3.73770e+18 3.79720e+18 3.83950e+18 3.93880e+18
9.95000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
1.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00
